"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009307320","FISCHER & PORTER CO.","JACKSONVILLE & ST RD","WARMINSTER","PA","18974","BUCKS","PAD002345817","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300585","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.183889 -75.0925"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009307507","A.I.W. FRANK/MID-COUNTY MUSTANG","INT RTE 202 & RTE 30","EXTON","PA","19341","CHESTER","PAD004351003","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300773","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.031811 -75.6032"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009308043","UGI COLUMBIA GAS PLANT","FRONT STREET","COLUMBIA","PA","17512","LANCASTER","PAD980539126","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301328","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.026207 -76.498389"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009308132","WALSH LANDFILL","WALSH ROAD","HONEYBROOK TOWNSHIP","PA","19344","CHESTER","PAD980829527","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301570","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.119719 -75.915281"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009308267","OSBORNE LANDFILL","0.5 MILES E OF TOWN","GROVE CITY","PA","16127","MERCER","PAD980712673","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301541","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.161111 -80.058331"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009308301","OLD WILMINGTON ROAD GW CONTAMINATION","OLD WILMINGTON ROAD","SADSBURYVILLE","PA","19320","CHESTER","PAD981938939","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0302420","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.995833 -75.908333"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009322777","BERKS SAND PIT","UNOBTAINABLE","LONGSWAMP TOWNSHIP","PA","19539","BERKS","PAD980691794","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301434","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.4646 -75.6273"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009324392","WOODLAND ROUTE 72 DUMP","RTE 72, ON SOOEY ROAD","CHATSWORTH","NJ","08019","BURLINGTON","NJD980505879","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200581","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.821669 -74.447781"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009324533","PRICE LANDFILL","MILL ROAD","PLEASANTVILLE","NJ","08232","ATLANTIC","NJD070281175","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200427","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.415281 -74.52695"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009326345","DOUGLASS ROAD/UNIROYAL, INC., LANDFILL","NW INTERSECTION OF DOUGLASS AND GRAPE RD","MISHAWAKA","IN","46544","ST. JOSEPH","IND980607881","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501696","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.7132 -86.1926"
